地点,价格,照片,各性描述,屋内情况,不适宜,适宜,房东姓名,房东性别,综合分数,整洁卫生,描述相符,交通位置,安全程度,性价比
北京市朝阳区沿海赛洛城,458,46,第一次做民宿，沉醉于软装设计我把梦想的生活方式揉进这里，大到家具家电，小到餐具饰品，都是精挑细选希望我精心布置的房间能带给你家的感觉，减少对这个城市初来乍到的陌生感～当然，这里并不完美，您遇到任何问题请随时跟我沟通，我会尽力为您解决希望您是愿意沟通，善良礼貌的人，习惯中差评的我们一律不接待感谢您对房子的喜欢，这是我们继续努力的动力～您可能关心的问题【关于卫生】：卫生是重中之重，房间每客一扫，床品每客一换，如果入住期间需要打扫收取50元清洁费。【图片真实性】：房子经过网站工作人员验真，照片为网站摄影师实拍，所见即所得【如何预定】：我们会及时更新房态信息，房间在可预定状态下都有房，欢迎自助下单，房子是密码锁，入住之前，我会把房间具体地址和密码发给您～【关于押金】：由网站代收押金500元，退房后保洁打扫完毕将押金原路返回【关于优惠】：日租价格已是最低，不议价，7天以上订单95折，30天以上9折【入住人数】：正常2人，最多3人，提前告知，我们会多准备一套床品和洗漱用品，不加收费用【入住及退房时间】：正常入住时间为下午2点，退房时间中午12点，如果您需要提前入住或延迟退房，请务必提前与我沟通【关于停车】：小区有地面收费停车场，车位充足【能否提前看房】：房东距离房源所在位置较远，且图片及房源描述经由网站审核通过，所见即所得，不支持提前看房【商业拍摄】：欢迎商业拍摄，但会根据入内人数和拍摄性质收取一定额外费用，如需详细了解请私信咨询。如有发现未经通知的情况下擅自进行商业拍摄，恕将您立即请出。【关于聚会】：禁止聚会【开具发票】：如需发票，可在预定时选择需要发票，平台收取相应税点【其他费用】：在您遵守房屋守则的情况下，无任何加收费用，请您放心北京的地铁线路如同蜘蛛网般交叉，地铁没有堵车的烦恼，离地铁近就是王道～赛洛城小区到地铁口步行距离600米～地铁直达欢乐谷，天坛，前门大街，北京西站到天安门等景区10公里以内～,北京著名的网红社区，住着很多时髦人儿，距离7号线百子湾地铁步行700米，小区配套设施完善，每个单元都有保安，居住安全，有电梯，密码锁出入很方便～LOFT结构，1层客厅餐厅厨房洗手间，2层卧室及休闲区【卧室】2米的双人床垫，2.4米超级大被子，房主精心挑选的高密度面料床品保证一客一换房间黑白色调，简洁大方，多数用品来自宜家～【客厅】网红吊灯超薄液晶电视，一百多个频道大落地窗旁是铺着厚毛毯的飘窗，喝一杯小酒，发个呆也是假日里不错的放松方式餐桌一尘不染，精致的餐具，点着香薰蜡烛，吃自己亲手做的晚餐，享受一个自在舒适的晚上【厨房】提供全套厨具及精美餐具，免费的调料和大米，快来大展厨艺别忘了晒图哦~【洗手间】高档厚实的毛巾浴巾，大功率吹风机，洗浴用品，一次性洗漱用品，卸妆棉，拖鞋，洗衣液，消毒液，房主能想到的都准备了，欢迎补充除此之外，空调，微波炉，冰箱，全自动洗衣机，wifi，24小时热水，也应有尽有哦,门禁系统浴缸有线网络允许吸烟允许聚会允许带宠物适宜儿童适宜老人适宜残疾人,热水淋浴无线网络空调电视电梯洗衣机冰箱停车位饮水设备暖气拖鞋手纸牙具毛巾浴液 洗发水香皂允许做饭,小马佳佳,Woman,5分,暂无,暂无,暂无,暂无,暂无
北京市朝阳区百子湾 石门东路 沿海赛洛城,598,35,艺术浪漫的家，无限的舒适享受等待着你~房子的设计到装点都是房主一点一点生活乐趣的由来，期待一样有趣的你~~地铁7号线【百子湾】往东一点第一个红绿灯口就是地铁1号线【大望路】B口出坐11路公交【唐家村】下车往东200米地铁站【百子湾】公交站【唐家村】,24小时热水洗澡，拖鞋，毛巾牙刷洗发露都有啦，床品一客一换，干净~洗衣机，熨烫机【基础设备】：有音响，有6人-8人餐桌餐椅，免费高速WIFI，舒适床垫，24小时热水洗澡，超大公共露台，2【想做饭】：燃气灶，德国锅具刀具，酒杯水杯盘子齐全齐全拉，小烤箱，电饭锅，冰箱，洗洁精【情侣约会】：舒适的大双人床，珍珠纱幔朦胧，水晶灯，花朵，芬芳香味~~进口红酒杯，立体音响，空调，安静舒适整洁的浪漫享受特别注意：楼下有老人，拒绝晚上吵闹的活动！！扰民者不接待！,浴缸有线网络允许带宠物适宜儿童适宜老人适宜残疾人,热水淋浴无线网络空调电视电梯门禁系统洗衣机冰箱停车位饮水设备暖气拖鞋手纸牙具毛巾浴液 洗发水香皂允许做饭允许吸烟允许聚会,iHOME民宿沿海店,Woman,4.9分,4.9分,4.8分,4.9分,4.9分,4.8分
zt梨子,dgnc,黄俊翰,aileenlousiusiu,zuMemory,aaaaacccc,p6血色浪漫,斯德哥尔摩女孩,齐宏越,吃可爱多长大的06,热乎宾果,萌琦琦的美甲店,qpZxub,崽崽最可爱啦,zsj456,李晗辽AX,wenxiyoyo,co一颗小虎牙,静静的蓝兔子
入住时间：2019年05月因为自己原因没有入住房东爽快同意免费取消点赞房东回复:感谢您的评价您在选择我们的时候我们也会为您解决入住问题我们再接再厉做的更好欢迎您的下次入住,入住时间：2019年04月非常给力的套民宿，地理位置好，环境舒适，房间装修优雅，干净整洁！大力推荐！房东热情！下次有机会继续订！房东回复:哈哈感谢您的评价期待您的下次入住,入住时间：2019年04月很好，很好，很好，很好，很好，很好，很好，很好，很好，很好，很好，很好，很好，很好，很好，很好，很好，很好，很好，很好，很好，很好，很好，很好。房东回复:哈哈感谢评价,入住时间：2018年10月因为出差，订了一夜，一进门，屋子那种说不出的味道就让整个住宿的体验立马就下来了，桌子上的灰也很大，沙发的卫生也没法评价，小房间的味道就更不用说。再来说说安全问题，半夜凌晨不到一点，突然有人开房门，刚开始以为是自己神经过敏，后来连续的两次，我把门打开，门口站着人，说他们也是预订这个房间的，好恐怖⊙﹏⊙！啥也不想说了，这次北京的民宿体验。房东回复:实在抱歉给您带来这么差的住宿体验，我们已经联系核实情况，卫生方面我们已经勒令保洁阿姨集体整改，对于安全问题我们已经处罚责任人。希望您下次来给您更好的住宿体验！,入住时间：2018年09月感谢房东款待，房子很好，住着很舒服,入住时间：2018年09月没有照片拍的那么好房东回复:感谢您的评价，您在网站上看到的照片都是网站这边过来实拍的，色觉上可能多会有一些色差，我们的房间可能会有一些日常磨损，但是房间的摆设和颜色都和照片上是一样的。您也可以体验下我们的其他房间。iHOME随时欢迎您！,入住时间：2018年08月很好，很满意房东回复:感谢您的好评，我们会努力做得更好的，同时也非常欢迎您继续下榻iHOME。,入住时间：2018年08月房子大，而且装修的非常好看，尤其是主卧室。房东也放了矿泉水和纸巾，毛巾什么的都叠的很整齐。落地窗看景色很棒，尤其是晚上夜景超美。床单也干净，床舒服。附近小吃也很多。但是房间刚开始有点味道，通通风就好了。唯一一个续租的房子。房东回复:感谢您对我们的评价，您的满意是对我们最大的鼓励，我们会再接再厉，同时也欢迎您再次下榻Ihome！,入住时间：2018年08月房间很大很漂亮房东回复:感谢您对我们的评价，您的满意是对我们最大的鼓励，我们会再接再厉，同时也欢迎您再次下榻Ihome！,入住时间：2018年08月非常好，很大很漂亮房东回复:感谢您对我们的评价，您的满意是对我们最大的鼓励，我们会再接再厉，同时也欢迎您再次下榻Ihome！大三居超大地铁百子湾做饭出差发票>,入住时间：2019年05月非常喜欢这间房间，挺大的，装修也非常好，离地铁站走路也就10分钟左右，下次还来这里。西域复式2人地铁近做饭可发票出差～>,入住时间：2019年05月环境没得说，跟图片一模一样！房东回复:感谢您的评价房间照片我们都是网站专业摄影师进行实拍的实际现实无出入我们再接再厉期待您的下次入住英伦正规一居做饭出差CBD可发票拍片>,入住时间：2019年05月房间内部有种复古感，还蛮有感觉的，床很高，但是床垫很舒服，很舒服，很舒服……房东回复:感谢您的到来和好评。让客人住的舒心，是我们努力的目标。我们的床垫选择的是适中的很舒服为客人细心考虑我们也期待您的下次入住棉花糖地铁近唯美复式出差做饭可发票>,入住时间：2019年05月房子超级漂亮，周边吃饭什么的也都很方便，交通也可以，除了入住之前跟不知道是客服还是业主沟通比较费劲以外其他的都很好。房东回复:感谢您的到来和好评，让客人住的舒心，是我们努力的目标。我们的房间距离地铁公交站都特别近如果您喜欢步行，也可以一边欣赏城市的景色。期待您的再次光临。”百子湾地铁时尚可做饭情侣双井近>,入住时间：2019年05月房子特别漂亮，小区也高档，住得很舒服，房东很热心，很好找到，下次有机会再来房东回复:感谢您的到来和好评。让客人住的舒心，是我们努力的目标。欢迎并期待您的下次到来棉花糖地铁近唯美复式出差做饭可发票>,入住时间：2019年05月各方面都不错，除了没有电视房东回复:您好，感谢您的评价，房间是有点电视的，在楼上的呢近地铁/竟园/绿野仙踪一居>,入住时间：2019年05月很少写评论，但是这间房子真是性价比超高，忍不住过来评论。房子装修是全新的，非常有设计感，交通便利，房东小姐姐也非常nice，非常细心，准备了陈皮玫瑰小毛毯，周边外卖也超多，下回还来房东回复:感谢您的用心评价，照片拍的棒棒哒03梦120平4人住地铁近百子湾做饭>,入住时间：2019年04月干净整洁卫生。空间大。房东回复:感谢您的评价，期待您的下次入住06青花阳光2居燃气做饭拍摄文艺优>,入住时间：2019年04月房间干净宽敞，住着很舒服，客厅挺大的，总之性价比比较高，就是离地铁站有一丢丢远，其他都很棒。房东回复:感谢您的评价，我们再接再厉做的更好，欢迎下次入住百子湾小白LOFT近地铁公寓做饭双井>
北京市怀柔区渤海镇三渡河村,450,27,云鹤小居·月亮房可以居住二个人，中式景观，独立小院，娴雅悠然，浪漫二人间，可闲庭信步，可阅读中享受下午时光，感受中式情结。房间提供一次性牙具，纸杯，卫生间24小时热水，浴巾，拖鞋，洗手液，吹风机，卫生纸等免费物品！室内的摆件，画卷等可以出售，院内有免费wifi，房间门后有wifi密码，云鹤小居的二维码，名片等，房间免费提供茶具，矿泉水慕田峪长城附近四合院中式风格小院可预订早餐15元/人(十五岁以下孩子免费)，晚餐100元/人(十五岁以下孩子免费)提供送机场火车站服务(需要付费)免费停车场(免费)如果您成为我们的老客户就可享受平日八五折，节假日九折优惠。云鹤小居民宿·月亮房地处怀黄公路慕田峪长城方向，约十公里处，花台子公交车站，自驾游可以高德导航云鹤小居即可，户外骑行，公共交通到三渡河花台子公交车站即可，穿行在山区公路，感受景区风光，相信会不虚此行，云鹤小居民宿欢迎您！提供收费充电桩50元/次,独立的小院，拥有3个独立房间，安静闲淡。按人数可自由选择套房2人间，3人间，6人间，具有独立卫浴，适合家人或者朋友相聚。到院子里晒太阳，看看书，发发呆，度下午时光。院子装修是自己设计打造的，做一些自己喜欢物件，一句话，美却有意思。小院提供收费早，晚餐，但需提前预定，小院位处北京农村的环境中，周边有便利店和多家餐厅。,电视电梯门禁系统洗衣机冰箱饮水设备浴缸暖气有线网络毛巾允许做饭允许吸烟允许聚会适宜儿童适宜老人适宜残疾人,热水淋浴无线网络空调停车位拖鞋手纸牙具浴液 洗发水香皂允许带宠物,夕阳之洋TOM,Woman,暂无,暂无,暂无,暂无,暂无,暂无
北京市朝阳区百环家园,378,22,预定需知:下单前务必提前沟通重要事说三遍沟通沟通沟通！一定要沟通米粒儿家步行6分钟到双井地铁站·到国贸：到国贸CBD开车7分钟，如果骑共享单车15-20分钟，如果做地铁只有一站地哦，所以很方便～·到天安门：乘坐10号线做一站到国贸后，转1号线20分钟直达到天安门哦～·到三里屯：乘坐10号线双井站4站到团结湖，步行10分钟到三里屯哦，全程30分钟内搞定～·到世贸天阶：乘坐10号线双井站2站到金台夕照，就到世贸天阶了哦～如果骑车子更方便，15分钟左右就到了哦～·到北京站：到国贸换乘2号线后1站到北京站哦～·到北京西站：马上双井7号线就开通了，可以直接7号线30分钟到北京西站。现在大家可以步行10分钟到广渠门外站，乘坐7号线30分钟到北京西站哦～·到首都国际机场：乘坐10号线到三元桥换乘机场线2站到T2航站楼，或者直接坐车车到机场40分钟哦，不过建议大家如果坐车车一定要提前出发，比较帝都的交通稍微有些不受控～建议大家能乘坐公共交通工具，或者共享单车的就尽量乘坐哦，爱护环境，保护你我他～再次欢迎所以光顾米粒儿家的伙伴们,米粒儿的家是欧式装修，床品也是欧式的滑溜溜面料，贴身的那面是棉质的（米粒儿怕有的伙伴不能接受丝绸，所以选择了摸起来滑溜溜，盖起来很舒服的床品）有一个小吧台，大家可以在吧台上看看书，喝咖啡哦伙伴们也可以坐在米粒儿阳台的摇椅上晒着阳光，看着书，特别惬意。晚上可以坐在摇椅上开着台灯，惬意的看着书，喝着咖啡，背景是整个国贸，大北京，想想都美吧～★有几点需要大家注意哦★·米粒儿不能闻烟味，所以各位伙伴千万不要在家里抽烟哈，这个比较重点呢，所以放到第一点给大家看哈。·米粒儿食素者，不能接受油烟，所以米粒儿家可以做一些简餐，不希望开火做饭哦～·米粒儿的房子是正规的一居室，但是没有在卧室安装门，用的门帘，哈哈，米粒儿有点儿幽闭恐惧。。。所以在房间内有空调和风扇，建议伙伴们用风扇，因为房间不是密闭，和客厅想通的，所以夏天用空调不会特别舒服。米粒儿买的风扇是可以摇脑袋的哦，所以不要对着自己直吹，免得感冒啦～·米粒儿有准备一个三门大衣柜，够大家放好多衣服哦～·米粒儿在吧台旁边的架子有准备小本本，欢迎各位伙伴可以留言哦～·米粒儿的卫生间内有准备垃圾桶，伙伴们一定一定要把纸巾扔在垃圾桶内，不要扔进马桶哦～再次欢迎所以光顾米粒儿家的伙伴们,门禁系统浴缸有线网络牙具香皂允许吸烟允许聚会允许带宠物适宜儿童适宜老人适宜残疾人,热水淋浴无线网络空调电视电梯洗衣机冰箱停车位饮水设备暖气拖鞋手纸毛巾浴液 洗发水允许做饭,Emily的米粒,Woman,4.9分,暂无,暂无,暂无,暂无,暂无
北京市丰台区东亚三环,438,19,不想当飞行员的调酒师，不是一个好的民宿主人。游走于线上OTA平台，厌倦了各项KPI考核，裸辞自己当民宿主人。顺便学着做奶爸。爱好广泛，音乐/篮球/台球/鸡尾酒/咖啡/茶艺，有机会可以切磋切磋【交通】地铁：4号线公益西桥站就在小区门口，北京南站3站，用时10分钟；北京西站4号转7号，用时25分钟。南苑机场9km，打车约20分钟，花费25元（前提是不堵车哈）。,【关于设计】房屋由设计师朋友协助设计：走进房间，中灰色墙面与白色柜体使空间干净优雅，搭配偏灰的粉色甜蜜浪漫，却又不会显得过分稚嫩；以粉色，灰色以及米黄色为空间的大面积色调，搭配时尚的黑白波点或条纹，把整个巴黎的优雅搬进家。【客厅】42寸智能电视、小米智能影音盒、百兆wi-fi、舒适宜家沙发、时尚宜家茶几、卡通挂画组合，折叠式餐桌。【卧室】宽敞舒适1.8*2m双人床，对标四星级高织数床上用品，专业洗涤厂清洗、消杀、熨烫，床单被罩枕套毛巾浴巾，保证一客一换。【厨房】公寓虽小，五脏俱全。开放式橱柜+全套炊具厨具+中式调料，随时助力您施展厨艺。【景观】南向阳光房，180度全视野准落地窗，黄昏日落&繁华夜景尽收眼底。,浴缸香皂允许带宠物适宜儿童适宜老人适宜残疾人,热水淋浴无线网络空调电视电梯门禁系统洗衣机冰箱停车位饮水设备暖气有线网络拖鞋手纸牙具毛巾浴液 洗发水允许做饭允许吸烟允许聚会,游弋晓居,Woman,4.8分,暂无,暂无,暂无,暂无,暂无
北京市丰台区东亚三环,318,18,房东是一位资深的北漂，自己做点小买卖，能挣点小钱，偶尔听到民宿这一词自己也想试试，不求别的，多想多认识一些人，了解一下来自各地的朋友不一样的人生位于北京地铁4号线公益西桥地铁站C口，出来就是小区南门。公交车站也就在小区门口，出行分分钟十分便利,本来只想做的简单点，开始收拾以后就停不下来了，觉得什么好就往里搬，没有确定的风格，住着舒服就行,饮水设备浴缸香皂允许带宠物适宜儿童适宜老人适宜残疾人,热水淋浴无线网络空调电视电梯门禁系统洗衣机冰箱停车位暖气有线网络拖鞋手纸牙具毛巾浴液 洗发水允许做饭允许吸烟允许聚会,游弋晓居,Woman,4.4分,4.4分,4.4分,4.4分,4.4分,4.4分
shining_琪,坤哥红海湾,BabyWbf,Rugby陈影,冯样,hui佳佳,greenaxe,臻o8,gucuicui,A晓晨,好玩的一天,稳稳小幸福,糯彤彤,燏哈哈,acekiller,蒹葭zb,Rickywang16,我叫张嚷嚷
入住时间：2019年04月本来预定的是便宜的房子，房东人超级好给升级了～刚进去房间就觉得很干净，门锁是单独设定的密码锁，很安全，床单毛巾被罩都是洗好新换的，还有洗发液沐浴露都是准备好的，不用自己带，厨房的锅碗都很齐全，刀子什么东西都是一颗直接用的，很方便，调料一般的都有，就自己买了油和黄酒，大料，还剩下很多米调料没用完，就留在房间了，希望之后的住户可以方便用别浪费哈哈哈～很好的住房体验刚进去忘记没拍照，就放了几张这几天做的菜(▽`),入住时间：2018年12月还可以吧就是隔音不好,入住时间：2018年10月房东超级好，房间干净。下次还会入住房东回复:您呀虽然接触不多沟通也不频繁但我知道你眼光一定很好,入住时间：2018年10月还不错，本来应该12点退房，因为下午5点多的高铁，跟房东说了一下，房东推迟到下午三点退房，房东人很好，很不错的体验。房东回复:出门在外相互理解要是没人你可以多待会确实后面还有客人要住所以只能给您宽限到3点,入住时间：2018年08月房间很不错，干净。,入住时间：2018年06月很好位置方便,入住时间：2018年05月还好还好.！房东回复:非常好的房客，欢迎您下次入住哦,入住时间：2017年09月首先小区的地理位置很不错，就在地铁口，门口也有很多吃的，生活很方便，我们当时是开车去的，小区里也有停车位，收费还很便宜，但是靠运气找位置，停车位不是很宽裕，然后小区的楼道不是很干净，有点杂乱，屋里还不错，布置的还算温馨，就是照片上看起来会比实际的整理看起来更新一些，有一个问题是床有点太软了！睡不习惯，其他都不错房东回复:很好的客人，房间保持的很好，欢迎下次入住哦,入住时间：2017年08月房东很热情，人也很好，房间干净太干净，入住跟舒服，做饭，洗澡一应俱全，特棒！房东回复:谢谢亲的好评！欢迎您下次入住【龙舌兰】地铁口/直达西单北大清华颐和园>,入住时间：2019年04月房间漂亮，干净整洁，主要装修风格我超喜欢，房东小姐姐，人很善良，亲和，而且特别良心的，我一租了两个房间都各续租了两天，赶上五一假期小姐姐在没有涨价的前提下还给了我们优惠，真的是很愉快的一次入住，也让我这次在北京的旅行更增添的一份开心，小姐姐给推荐的餐厅也很好吃，小区附近出门地铁站，商场超市都很全，强烈推荐各位入住近北京南站南苑机场地铁四号线高层视野巨好>,入住时间：2019年04月邻居很吵，楼内环境一般，房间略潮。入住体验一般冬至物语-近南站公益西桥地铁南苑机场>,"入住时间：2019年02月这次的入住体检不好能够说满意的应该就是地段了，出门就是地铁，这一点很方便。再来说说不好的，落地联系房东，给我一个完全不一样的房间，非常小，告诉我，我定的房间卫生间的马桶坏了，不进水，不能住。给我的那个房间，我带着孩子完全住不了，然后又给了我一个大一点的房间，我再说说这个。1,床，一个大床是两个单人的床垫拼的2,热水器，只能快速地洗一个人，如果是女士，洗头了，再洗澡水就凉了，得等等……让电热水器加热至少一个小时。3,马桶盖上有个破洞，坐在上面挺担心。入住了四天，我原先定的房间一天没住上。房东回复:非常抱歉宝妈，因为房间的确出了一些维修上的问题，赶在春节期间不好找师傅，我今可能给您条换大点的房间给您，因为春节期间房源紧张所以小房间更不能给您条换了，我也是赶着师傅来给您安排维修，很抱歉宝妈！如果有机会一定给您免费升级好一点的房间！祝您新年愉快！粉黛佳人地铁公益西桥站近北京南站南苑机场>",入住时间：2018年12月床品很干净入住的时候看到保洁姐姐有清洗上一位客人用过的床单被罩卫生间也很干净房间布置和图片高度一致房东很nice问题都有帮忙解答冬至物语-近南站公益西桥地铁南苑机场>,入住时间：2019年01月住的还是蛮不错的粉黛佳人地铁公益西桥站近北京南站南苑机场>,入住时间：2019年01月感觉很不错天空之镜-近南站机场地铁直达西单天安门>,入住时间：2018年12月很棒交通方便公益西桥地铁站柠檬雅居近南站南苑机场>,入住时间：2018年11月住的时候被人莫名其妙敲门，说是送东西送错了，老板给我升级了房型【粉系马卡龙】四号线公益西桥站近南站南苑机场>,入住时间：2018年12月非常好的入住体验，装修非常温馨，也很干净，而且房东人真的太好了，强推！！！粉黛佳人地铁公益西桥站近北京南站南苑机场>
